truthful ||| negative ||| I'm a frequent business traveler and often in Chicago on trips. At times, it's very difficult to even find a hotel in downtown Chicago, and this was one of those times. I recently had to pay almost $400 for one night at the Allegro. It was absolutely not worth it. The hotel was filled to capacity with conventioneers, so check-in and check-out were very slow. There were very few elevators, which were worked beyond capacity with all the guests. The morning I checked out, our elevator stopped at every single floor from the 16th floor down to the lobby, but the elevator was almost completely full when I got on at the 18th floor, so I can only imagine how long it must have taken other guests to get downstairs. The room was extremely small and cramped, even though it had obviously been renovated recently. The TV, bed, and decor were all new and were the high points of the hotel. Still, the rate was way overpriced for such a small room. The best thing about the Allegro was the room service, which was prompt. The food was good, and the prices were very reasonable for room service. From now on, if my regular hotels are booked, I'll just take a cab farther out from the city because it just isn't worth it.
fake ||| positive ||| My stay at the Hotel Allegro Chicago was an amazing experience! The staff were helpful and considerate, always there to tend to my needs. My suite was extremely clean, and had all the amenities that I could ask for. I almost didn't want to leave my room, because it was so nice. But in the end I did, because the hotel is situated in such a great area, that I had to go out and see some of the sites. This hotel has wonderful rooms and service, and is in a really great area. I suggest that everyone come here if they are staying in Chicago.
fake ||| positive ||| I enjoyed my stay at the Ambassador East Hotel in Chicago. The staff was friendly and helpful from the time I checked in all the way through checkout. The hotel was very clean and well maintained. The beds were very comfortable! The hotel restaurant/lounge was very cozy and a nice way to unwind after a long day. The only thing I was unhappy about was the fact that internet service is not complimentary at this hotel. I reccomend this hotel and I will stay there again on my next trip to Chicago!
fake ||| negative ||| When most people think Hilton, they think luxury. I know I did. I only wish I'd been half right. Upon arriving, I was informed that the incompetent staff had lost my reservation entirely. Not a very auspicious start, but they did find me another room. Granted, the new room had an oh-so-scenic view of the broadside of an adjacent building. But, fine. I was willing to let this slide. I didn't want to be difficult. In the following days of my stay, it got a little harder to ignore all the minor problems that were making the Hilton very undeserving of the term, luxury hotel. Noisy neighbors. Rude staff. If the state of my bathroom towels was anything to go by upon checkout, I doubt my sheets were changed even once. Next time I'll ignore the hype and stay somewhere cheaper. The service couldn't possibly be worse.
truthful ||| positive ||| Stayed here on business a few nights and really liked it. Very attractive, classy and comfortable hotel that's got an element of sexy and sharp. Public spaces are very nice, with an open area bar in the front lobby and nice sitting areas. Rooms are lovely as well, with handsome fixtures and furniture, a terrific desk work space and comfortable bed. Bathroom amenities and fixtures are sleek and attractive as well. Best of all, the hotel has breathtaking views of the city and the water - both the river and the lake. If you're working in the area, it's the best choice for that part of town, and I prefer it to the nearby Hyatt and Monaco.
fake ||| negative ||| My husband and me reserved a room online for the Chicago Hilton. We were looking for a quit few days away from home and work. Unfortunately what we found was not what we were looking for. First of all the room was smaller than what it appears to be online in the photos. The floors looked like they haven't been cleaned in a while in the check in area. The room we stayed in had very thin walls and we could hear the conversation of the other guest on each side. The staff was horrible. We had asked for a turn down service it was never received. I would not at all recommend this hotel to anyone. Chicago is a great place to visit as long as you do not stay at the Hilton.
fake ||| positive ||| The Knickerbocker hotel was one of my favorite hotels to visit. My wife and I utilized the park & play package, which gave us an amazing room, complimentary valet service, and a great kit to plan our weekend around. It was well worth the price and we both wish to go back again. The rooms were top notch and the hotel's staff was excellent. One of the employees, Craig, helped us find our way around the city and this shows the Knickerbocker really cares about its guests. We loved our visit and are sure you will too. A+
fake ||| positive ||| My stay at the Affinia last weekend was ideal and I can't wait to return. I was in town for a brief personal trip and wanted to have a clean, lovely room near the shopping downtown. Affinia fit the bill. The location was perfect, just one block from the magnificent mile. The decor was modern and sleek, and my room was impeccably clean. They even have a pillow menu! The price was pretty reasonable, too. I'll definitely be back.
fake ||| negative ||| I needed a place to stay for a business conference in Chicago. While higher priced, the reviews online plus four stars convinced me. Granted the hotel itself is beautiful, but looks can be deceiving. The pictures online show beautiful white linens but mine were a bit grey. The restaurant (Cafe Des Architect) had amazing food, so that was a plus, but the service was awful. I had to wait twenty minutes for a glass of water! My remote wouldn't work for the tv and the air conditioner was far too loud. The hotel must've been hosting a convention because I could hear music all through the night. The housekeeping was good but happened too infrequently. I called twice for more fresh towels. If I wanted this type of experience, I'd have stayed at a lower-end hotel. Same experience, less money!
fake ||| positive ||| I recently stayed at the Amalfi Chicago with my wife on a business trip. We decided to combine business with pleasure and made a long weekend out of our stay after business was concluded. We enjoyed the luxurious in-room spa service and stayed in the superb one bedroom suite with incomparable views of the surrounding city. The individualized attention from check-in to reservations was exceptional and better than what we usually receive from concierge service. The Amalfi actually delivered what they promised and more. Our weekend was more relaxing and enjoyable due to the excellent training of the staff and the amenities offered on site. The hotel's design is modern and sophisticated with the decor being a delight to the senses. Lots of color and clean lines made a great impression and felt both modern and comfortable. Breakfast is served on each floor or in room and my wife especially appreciated the availability of the fresh fruit and yogurt. Being of European descent, I enjoyed the croissants, whole grain muffins, real butter and marmalade. We also brought along our Standard Poodle, Sterling, and the Amalfi is one of the few luxury hotels that allow for pet accommodations and understand that your pet is part of the family. We purchased the pet pamper package and this allowed Sterling to have his days while we had ours and we reunited in the evenings. Sterling slept in our room as usual at the foot of our bed and this contributed to our feeling "at home" while away. For pet lovers this is a big plus. Finally, transportation to and from our corporate jet was arranged with ease by the hotel so we did not bring an assistant with us on this trip to handle these arrangements as is normal. This allowed us a bit more privacy and it is scarce for us to be able to do this, another appreciated bonus of our stay. Thank you Amalfi for a superb experience.
truthful ||| positive ||| Recently returned from a two-night stay at Ambassador East Hotel. Was looking for a comfortable hotel to stay at while visiting family now located in Chicago. Mission was accomplished. If you would like a quiet, comfortable hotel in a great area - this is it. While some of the furnishings show some signs of their age, it does not detract from the elegant style of the rooms and adds to the comfortable and home-like feeling. Found staff to be friendly and helpful. We will be return guests many times in the future for sure.
